Name	Reference	Notes
Yokohama	S. Aoki et al. “Observation of the Muonic Decay, Ds± →µ±νµ: WA75 Collaboration.” Progress of Theoretical Physics 89, no. 1 (January 1, 1993): 131–38. https://doi.org/10.1143/ptp/89.1.131.	
Korea	S. Aoki et al. “Production of a Twin Single Hypernuclei and the Ξ−-Nuclear Interaction.” Physics Letters B 355, no. 1 (July 27, 1995): 45–51. https://doi.org/10.1016/0370-2693(95)00688-H	
Kariya	S. Aoki et al. “Nuclear Capture at Rest of Ξ− Hyperons.” Nuclear Physics A 828, no. 3 (September 15, 2009): 191–232. https://doi.org/10.1016/j.nuclphysa.2009.07.005	
Nagara	H. Takahashi et al. “Observation of a $_{\ensuremath{\Lambda}\ensuremath{\Lambda}}^{6}He$ Double Hypernucleus.” Physical Review Letters 87, no. 21 (November 2, 2001): 212502. https://doi.org/10.1103/PhysRevLett.87.212502.	https://www1.gifu-u.ac.jp/~physics/Nakazawa/hypernuclei/nagara/
Kiso	K. Nakazawa et al. “The First Evidence of a Deeply Bound State of Xi−–14N System.” Progress of Theoretical and Experimental Physics 2015, no. 3 (March 1, 2015): 033D02. https://doi.org/10.1093/ptep/ptv008.	https://www1.gifu-u.ac.jp/~physics/Nakazawa/hypernuclei/kiso/
Mino	H. Ekawa et al. “Observation of a Be Double-Lambda Hypernucleus in the J-PARC E07 Experiment.” Progress of Theoretical and Experimental Physics 2019, no. 2 (February 1, 2019): 021D02. https://doi.org/10.1093/ptep/pty149.	https://www1.gifu-u.ac.jp/~physics/Nakazawa/hypernuclei/mino/
Demachiyanagi		
Hida		
Mikage		
Kinka		
Ibuki		
Irrawady		
